movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
11,Star Wars,1977-05-25,11000000,775398007,121,8.202,21768,31.7335,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Finding Nemo,2003-05-30,94000000,940335536,100,7.816,20125,16.037,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Forrest Gump,1994-06-23,55000000,677387716,142,8.462,29024,22.0699,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14,American Beauty,1999-09-15,15000000,356296601,122,8.004,12699,8.5252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Citizen Kane,1941-09-05,839727,23218000,119,7.993,5856,5.2302,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,Dancer in the Dark,2000-09-01,12500000,40061153,140,7.9,1923,2.6151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18,The Fifth Element,1997-05-02,90000000,263920180,126,7.562,11339,16.8107,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,Metropolis,1927-01-10,5300000,1350322,148,8.102,2989,4.1488,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,655011224,143,7.817,21699,20.129,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Kill Bill: Vol. 1,2003-10-10,30000000,180906076,111,7.969,18408,11.8787,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Apocalypse Now,1979-05-19,31500000,150000000,147,8.268,8783,9.1233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,Unforgiven,1992-08-07,14400000,159157447,130,7.907,4760,6.9704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Eternal Sunshine of the Spotless Mind,2004-03-19,20000000,72258126,108,8.092,15892,11.7672,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000,1066179747,151,7.374,16769,15.8594,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,2001: A Space Odyssey,1968-04-02,12000000,71923560,149,8.06,12225,11.5043,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
70,Million Dollar Baby,2004-12-05,30000000,216763646,132,7.955,10101,5.3481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,American History X,1998-07-01,20000000,23900000,119,8.33,12219,6.7078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,Before Sunrise,1995-01-27,2500000,5987386,101,7.97,4508,6.5017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
77,Memento,2000-10-11,9000000,40047236,113,8.178,15761,9.484,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,Blade Runner,1982-06-25,28000000,41722424,118,7.941,14566,11.8814,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
81,Nausicaä of the Valley of the Wind,1984-03-11,1000000,9016411,117,7.9,3898,6.3723,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,Raiders of the Lost Ark,1981-06-12,18000000,389925971,115,7.922,13255,13.0838,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Gladiator,2000-05-04,103000000,465516248,155,8.221,20338,16.5021,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,"Lock, Stock and Two Smoking Barrels",1998-08-28,1350000,28356188,105,8.102,6970,5.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,Léon: The Professional,1994-09-14,16000000,45284974,111,8.299,15643,12.6992,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
103,Taxi Driver,1976-02-09,1900000,28579636,114,8.131,13049,13.2584,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
105,Back to the Future,1985-07-03,19000000,381109762,116,8.322,21203,21.3109,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
106,Predator,1987-06-12,15000000,98267558,107,7.543,8725,32.2342,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
107,Snatch,2000-09-01,100000000,83557872,103,7.817,9644,13.0437,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
111,Scarface,1983-12-09,25000000,66023329,170,8.157,12630,16.5622,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
114,Pretty Woman,1990-03-23,14000000,463406268,120,7.46,8735,14.6637,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000,871368364,179,8.427,26742,29.3669,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,The Lord of the Rings: The Two Towers,2002-12-18,79000000,926287400,179,8.411,23215,26.0305,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,The Lord of the Rings: The Return of the King,2003-12-17,94000000,1118888979,201,8.492,25791,25.4518,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,Princess Mononoke,1997-07-12,23500000,176506186,134,8.3,8660,10.6611,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,Spirited Away,2001-07-20,19000000,274925095,125,8.533,17755,21.1535,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
137,Groundhog Day,1993-02-11,14600000,71108778,101,7.622,8571,17.2203,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
149,Akira,1988-06-10,5700000,49000000,124,7.938,4586,6.2499,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,The Dark Knight,2008-07-16,185000000,1004558444,152,8.525,34900,27.1748,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
185,A Clockwork Orange,1971-10-28,2200000,27033812,137,8.18,13504,8.0088,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
194,Amélie,2001-04-25,10000000,173921954,122,7.914,12081,8.8147,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
196,Back to the Future Part III,1990-05-25,40000000,244527583,119,7.49,11201,16.1902,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
197,Braveheart,1995-05-24,72000000,213216216,178,7.941,10764,12.6004,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
207,Dead Poets Society,1989-06-02,16400000,235860116,129,8.3,12129,11.0445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,North by Northwest,1959-08-06,4000000,13275000,136,7.977,4359,5.0608,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,The Terminator,1984-10-26,6400000,78371200,108,7.674,14107,17.1898,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
223,Rebecca,1940-04-12,1288000,7592465,130,7.9,1905,2.402,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
234,The Cabinet of Dr. Caligari,1920-02-26,18000,8811,77,7.926,1715,2.4252,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
238,The Godfather,1972-03-14,6000000,245066411,175,8.685,22208,29.4149,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
239,Some Like It Hot,1959-03-19,2883848,25000000,122,8.087,3743,9.8615,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
240,The Godfather Part II,1974-12-20,13000000,102600000,202,8.571,13427,18.2909,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
272,Batman Begins,2005-06-10,150000000,374218673,140,7.72,22076,18.1064,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
274,The Silence of the Lambs,1991-02-14,19000000,272742922,119,8.346,17381,3.6409,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
278,The Shawshank Redemption,1994-09-23,25000000,28341469,142,8.713,29423,52.8301,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
279,Amadeus,1984-09-19,18000000,90007557,160,8.0,4576,5.1796,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
280,Terminator 2: Judgment Day,1991-07-03,102000000,520000000,137,8.136,13799,16.0466,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
284,The Apartment,1960-06-21,3000000,25000000,125,8.195,2530,6.0058,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
285,Pirates of the Caribbean: At World's End,2007-05-19,300000000,961691209,169,7.3,15101,16.0278,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
289,Casablanca,1943-01-15,878000,10462500,103,8.144,5843,7.2883,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
307,"Rome, Open City",1945-10-08,20000,1000000,103,8.02,952,3.6152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
311,Once Upon a Time in America,1984-05-23,30000000,5500000,229,8.396,5824,10.5082,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
329,Jurassic Park,1993-06-11,63000000,920100000,127,7.964,17352,8.6771,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
335,Once Upon a Time in the West,1968-12-21,5000000,5380118,166,8.3,4714,8.5965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
346,Seven Samurai,1954-04-26,2000000,105000000,207,8.452,4062,8.932,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
348,Alien,1979-05-25,11000000,104931801,117,8.167,15849,17.238,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
387,Das Boot,1981-09-17,14000000,85000000,150,8.084,2400,4.5137,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
389,12 Angry Men,1957-04-10,397751,4360000,97,8.549,9614,10.0581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
393,Kill Bill: Vol. 2,2004-04-16,30000000,152159461,136,7.875,14668,11.6263,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
