movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres
11,Star Wars,1977-05-25,11000000,775398007,121,8.202,21768,31.7335,"['Adventure', 'Action', 'Science Fiction']"
12,Finding Nemo,2003-05-30,94000000,940335536,100,7.816,20125,16.037,"['Animation', 'Family']"
13,Forrest Gump,1994-06-23,55000000,677387716,142,8.462,29024,22.0699,"['Comedy', 'Drama', 'Romance']"
14,American Beauty,1999-09-15,15000000,356296601,122,8.004,12699,8.5252,['Drama']
15,Citizen Kane,1941-09-05,839727,23218000,119,7.993,5856,5.2302,"['Mystery', 'Drama']"
16,Dancer in the Dark,2000-09-01,12500000,40061153,140,7.9,1923,2.6151,"['Drama', 'Crime']"
18,The Fifth Element,1997-05-02,90000000,263920180,126,7.562,11339,16.8107,"['Science Fiction', 'Action', 'Adventure']"
19,Metropolis,1927-01-10,5300000,1350322,148,8.102,2989,4.1488,"['Drama', 'Science Fiction']"
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,655011224,143,7.817,21699,20.129,"['Adventure', 'Fantasy', 'Action']"
24,Kill Bill: Vol. 1,2003-10-10,30000000,180906076,111,7.969,18408,11.8787,"['Action', 'Crime']"
28,Apocalypse Now,1979-05-19,31500000,150000000,147,8.268,8783,9.1233,"['Drama', 'War']"
33,Unforgiven,1992-08-07,14400000,159157447,130,7.907,4760,6.9704,['Western']
38,Eternal Sunshine of the Spotless Mind,2004-03-19,20000000,72258126,108,8.092,15892,11.7672,"['Science Fiction', 'Drama', 'Romance']"
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000,1066179747,151,7.374,16769,15.8594,"['Adventure', 'Fantasy', 'Action']"
62,2001: A Space Odyssey,1968-04-02,12000000,71923560,149,8.06,12225,11.5043,"['Science Fiction', 'Mystery', 'Adventure']"
70,Million Dollar Baby,2004-12-05,30000000,216763646,132,7.955,10101,5.3481,['Drama']
73,American History X,1998-07-01,20000000,23900000,119,8.33,12219,6.7078,['Drama']
76,Before Sunrise,1995-01-27,2500000,5987386,101,7.97,4508,6.5017,"['Drama', 'Romance']"
77,Memento,2000-10-11,9000000,40047236,113,8.178,15761,9.484,"['Mystery', 'Thriller']"
78,Blade Runner,1982-06-25,28000000,41722424,118,7.941,14566,11.8814,"['Science Fiction', 'Drama', 'Thriller']"
81,Nausicaä of the Valley of the Wind,1984-03-11,1000000,9016411,117,7.9,3898,6.3723,"['Adventure', 'Animation', 'Fantasy']"
85,Raiders of the Lost Ark,1981-06-12,18000000,389925971,115,7.922,13255,13.0838,"['Adventure', 'Action']"
98,Gladiator,2000-05-04,103000000,465516248,155,8.221,20338,16.5021,"['Action', 'Drama', 'Adventure']"
100,"Lock, Stock and Two Smoking Barrels",1998-08-28,1350000,28356188,105,8.102,6970,5.8,"['Comedy', 'Crime']"
101,Léon: The Professional,1994-09-14,16000000,45284974,111,8.299,15643,12.6992,"['Crime', 'Drama', 'Action']"
103,Taxi Driver,1976-02-09,1900000,28579636,114,8.131,13049,13.2584,"['Crime', 'Drama']"
105,Back to the Future,1985-07-03,19000000,381109762,116,8.322,21203,21.3109,"['Adventure', 'Comedy', 'Science Fiction']"
106,Predator,1987-06-12,15000000,98267558,107,7.543,8725,32.2342,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
107,Snatch,2000-09-01,100000000,83557872,103,7.817,9644,13.0437,"['Crime', 'Comedy']"
110,Three Colors: Red,1994-05-12,0,4127033,100,7.911,1505,2.783,"['Drama', 'Mystery', 'Romance']"
111,Scarface,1983-12-09,25000000,66023329,170,8.157,12630,16.5622,"['Action', 'Crime', 'Drama']"
114,Pretty Woman,1990-03-23,14000000,463406268,120,7.46,8735,14.6637,"['Romance', 'Comedy']"
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000,871368364,179,8.427,26742,29.3669,"['Adventure', 'Fantasy', 'Action']"
